name,brand,price,ratings,specs_score,os,processor,ram_size,ram_type,storage,graphics,screen_size,resoultion,cores,threads,warranty_months
Infinix XBOOK B15 Series BL51A5 71028300082 Laptop (AMD Ryzen 7 5825U/ 8GB/ 512GB SSD/ Win 11 Home),Infinix,32990,"4,15",62.0,Windows 11 OS,5th Gen AMD Ryzen 7 5825U,8 GB,DDR4,512 GB SSD,AMD Radeon,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Asus,449990,"4,7",60.69506172839506,Windows 11 OS,Intel Core Ultra 9 275HX,4 GB,DDR5,2 TB SSD,24 GB NVIDIA GeForce RTX 5090,18 inches,2560 x 1600 pixels,24 Cores (8P + 16E), 24 Threads,12.0
Asus TUF Gaming A15 FA566NCR-HN117W Laptop (AMD Ryzen 7 7435HS/ 16GB / 1TB SSD/ Win11 Home / 4GB Graph),Asus,70990,"4,15",71.0,Windows 11 OS,7th Gen AMD Ryzen 7 7435HS,16 GB,DDR5,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
HP 245 G10 B0WM3PT Laptop (AMD Ryzen 5 7520U/ 8GB RAM/ 512GB SSD/ Dos),HP,27637,"4,2",52.0,DOS OS,7th Gen AMD Ryzen 5 7520U,8 GB,DDR4,512 GB SSD,Integrated AMD Radeon Graphics,15.6 inches,1366 x 768 pixels,Quad Core, 8 Threads,12.0
Dell DC15255 Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),Dell,49990,"4,2",57.0,Windows 11 OS,7th Gen AMD Ryzen 7 7730U,16 GB,DDR4,512 GB SSD,AMD Radeon,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
MSI Thin 15 B13UDX-128IN Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win 11/ 6GB RTX 3050),MSI,58990,"4,45",62.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,DDR4,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,24.0
Lenovo ThinkBook 16 21MWA0R4IN Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win 11),Lenovo,52990,"4,4",68.0,Windows 11 OS,7th Gen AMD Ryzen 7 7735HS,16 GB,DDR5,512 GB SSD,Integrated AMD Radeon Graphics,16 inches,1920 x 1200 pixels,Octa Core, 16 Threads,12.0
Lenovo IdeaPad Slim 3 15IAH8 83ER00KSIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,45750,"4,55",60.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB,DDR4,512 GB SSD,Intel Integrated Iris Xe,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Motorola Motobook 60 Laptop (Intel Core 5 210H/ 16GB/ 512GB SSD/ Win11 Home),Motorola,54990,"4,15",56.0,Windows 11 OS,Intel Core 5 210H,16 GB,DDR5,512 GB SSD,Intel Integrated,16 inches,2880 x 1880 pixels,Octa Core (4P + 4E), 12 Threads,12.0
HP 15-fd0466tu Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),HP,46990,"4,05",52.0,Windows 11 OS,13th Gen Intel Core i5 1334U,8 GB,DDR4,512 GB SSD,Intel Iris Xe,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
